variable,n,min,max,median,q1,q3,iqr,mean,sd,se,ci
A254,212,7.98,19.06,11.08,9.83,12.07,2.25,11.20,1.91,0.13,0.26
AT_ratio,150,1.78,5.13,3.02,2.66,3.61,0.95,3.16,0.75,0.061,0.12
BA,212,0.66,0.85,0.77,0.74,0.79,0.042,0.77,0.029,0.002,0.004
CA_ratio,150,0.42,0.64,0.54,0.52,0.55,0.028,0.53,0.037,0.003,0.006
chla_ug.L,66,0.20,141.52,9.04,5.90,16.82,10.92,21.04,30.23,3.72,7.43
CM_ratio,150,0.71,0.98,0.90,0.89,0.91,0.028,0.89,0.051,0.004,0.008
CT_ratio,150,0.99,2.73,1.64,1.44,1.86,0.42,1.67,0.34,0.028,0.055
DOC_mg.L,216,3.70,8.13,5.19,4.65,6.21,1.56,5.38,0.97,0.066,0.13
ext_coeff_m,60,0.45,3.50,1.10,0.76,1.56,0.81,1.28,0.68,0.09,0.18
FI,212,1.48,1.69,1.56,1.54,1.59,0.050,1.56,0.035,0.0020,0.0050
Fmax,36,1.17,2.28,1.84,1.58,2.12,0.53,1.81,0.35,0.06,0.12
HIX,212,2.70,7.91,5.18,4.26,5.82,1.55,5.06,1.08,0.07,0.15
HIX_Ohno,212,0.73,0.89,0.84,0.81,0.85,0.04,0.83,0.033,0.002,0.004
PeakA_RU,150,0.59,1.38,0.97,0.89,1.11,0.22,1.00,0.17,0.01,0.03
PeakB_RU,150,0.13,0.58,0.22,0.19,0.25,0.06,0.23,0.06,0.01,0.01
PeakC_RU,150,0.33,0.74,0.51,0.47,0.58,0.11,0.53,0.09,0.01,0.01
PeakD_RU,150,0.14,0.32,0.20,0.19,0.23,0.04,0.21,0.04,0.00,0.01
PeakE_RU,150,0.04,0.10,0.06,0.05,0.07,0.02,0.06,0.01,0.00,0.00
PeakM_RU,150,0.36,0.85,0.58,0.53,0.66,0.13,0.60,0.10,0.01,0.02
PeakN_RU,150,0.24,0.51,0.38,0.35,0.42,0.07,0.38,0.05,0.00,0.01
PeakP_RU,38,0.01,0.03,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00
PeakT_RU,150,0.20,0.54,0.31,0.28,0.36,0.08,0.32,0.06,0.01,0.01
S275to295,212,0.016,0.026,0.023,0.022,0.024,0.002,0.023,0.002,0.000,0.000
secchi_depth_m,64,0.28,3.58,1.13,0.70,2.00,1.30,1.37,0.80,0.10,0.20
SR,212,0.97,1.45,1.16,1.10,1.22,0.12,1.17,0.09,0.01,0.01
SUVA,212,1.44,3.00,2.11,1.90,2.28,0.38,2.10,0.29,0.020,0.039
TDN_mg.L,112,0.20,0.64,0.39,0.31,0.44,0.13,0.39,0.087,0.008,0.016
turb_field_NTU,66,0.00,26.00,3.88,1.15,6.14,4.99,5.48,6.16,0.76,1.51
turb_lab_NTU,66,0.85,32.00,4.05,1.83,6.78,4.95,6.76,7.71,0.95,1.90