site_code_long,date_ymd,Year,dist_km,chla_ug.L,turb_field_NTU,secchi_depth_m,ext_coeff_m,site_abbr1
Opposite Sun Valley,2016-04-12,2016,13.012424221331809,10.53,4.3,1.2,0.911,B13.0
Opposite Parkview,2016-04-12,2016,19.80560678134186,9.84,5,1.1,1.043,B19.8
WTP Intake,2016-04-12,2016,25.24193885742915,8.37,7.4,0.8,1.137,B25.2
Above Outlet,2016-04-12,2016,29.08531002246053,11.31,10.7,0.7,1.557,B29.1
Below Causeway,2016-04-12,2016,5.241088960153036,12.21,7.3,1,1.376,B5.2
Opposite South Lake,2016-04-12,2016,8.986355671435067,15.15,9.1,0.75,1.262,B9.0
Lake Inflow,2016-04-12,2016,1.71,31.666666666666668,76.66666666666667,0.2,NA,B1.7
Upstream Causeway,2016-04-12,2016,3.75,28.165,76.5,0.2,4.346500000000001,B3.8
Opposite Parkview,2016-04-19,2016,19.80560678134186,NA,NA,NA,NA,B19.8
WTP Intake,2016-04-19,2016,25.24193885742915,NA,NA,NA,NA,B25.2
Above Outlet,2016-04-19,2016,29.08531002246053,NA,NA,NA,NA,B29.1
Below Causeway,2016-04-19,2016,5.241088960153036,NA,NA,NA,NA,B5.2
Opposite South Lake,2016-04-19,2016,8.986355671435067,NA,NA,NA,NA,B9.0
Opposite Parkview,2016-04-19,2016,19.80560678134186,NA,NA,NA,NA,B19.8
Below Causeway,2016-04-19,2016,5.241088960153036,NA,NA,NA,NA,B5.2
Lake Inflow,2016-04-19,2016,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2016-04-19,2016,3.75,NA,NA,NA,NA,B3.8
WTP Intake,2016-09-22,2016,25.24193885742915,35.21,16,0.6,2.04,B25.2
Above Outlet,2016-09-22,2016,29.08531002246053,36.07,17,0.55,2.189,B29.1
Opposite Parkview,2016-09-22,2016,19.80560678134186,26.15,9.4,0.9,1.46,B19.8
Opposite Sun Valley,2016-09-22,2016,13.012424221331809,21.64,8.9,1,1.39,B13.0
Opposite South Lake,2016-09-22,2016,8.986355671435067,18.3,7.2,1,1.31,B9.0
Below Causeway,2016-09-22,2016,5.241088960153036,19.61,11.3,0.95,1.499,B5.2
Lake Inflow,2016-09-22,2016,1.71,11.833333333333334,20.266666666666666,0.65,2.3703333333333334,B1.7
Upstream Causeway,2016-09-22,2016,3.75,17.259999999999998,11.85,0.75,1.8499999999999999,B3.8
WTP Intake,2017-03-21,2017,25.24193885742915,9.95,3.4,NA,NA,B25.2
Opposite Parkview,2017-03-21,2017,19.80560678134186,8.4,1.4,NA,NA,B19.8
Opposite Sun Valley,2017-03-21,2017,13.012424221331809,10.76,1.6,NA,NA,B13.0
Opposite South Lake,2017-03-21,2017,8.986355671435067,8.72,1.88,NA,NA,B9.0
Below Causeway,2017-03-21,2017,5.241088960153036,12.45,16.6,NA,NA,B5.2
Upstream Causeway,2017-03-21,2017,3.75,NA,NA,NA,NA,B3.8
WTP Intake,2017-05-15,2017,25.24193885742915,5.91,3.4,1.5,0.853,B25.2
Opposite Sun Valley,2017-05-15,2017,13.012424221331809,6.27,2.2,1.7,0.647,B13.0
Below Causeway,2017-05-15,2017,5.241088960153036,6.87,3.6,1.4,0.813,B5.2
Opposite South Lake,2017-05-15,2017,8.986355671435067,6.87,3.1,1.5,0.798,B9.0
Opposite Parkview,2017-05-15,2017,19.80560678134186,6.87,2.6,1.3,0.583,B19.8
Above Outlet,2017-05-15,2017,29.08531002246053,5.17,4.1,1.3,1.04,B29.1
Lake Inflow,2017-05-15,2017,1.71,17.213333333333335,23.466666666666665,0.55,2.026666666666667,B1.7
Upstream Causeway,2017-05-15,2017,3.75,12.844999999999999,15.25,0.65,1.855,B3.8
WTP Intake,2017-06-12,2017,25.24193885742915,7.26,3.5,1.1,0.91,B25.2
Above Outlet,2017-06-12,2017,29.08531002246053,7.26,3.9,1,0.934,B29.1
Opposite Parkview,2017-06-12,2017,19.80560678134186,7.26,2.4,1.9,0.717,B19.8
Opposite Sun Valley,2017-06-12,2017,13.012424221331809,7.26,2.9,1.4,0.717,B13.0
Opposite South Lake,2017-06-12,2017,8.986355671435067,13.64,3.8,1.05,0.933,B9.0
Below Causeway,2017-06-12,2017,5.241088960153036,18.13,11.5,0.65,1.595,B5.2
Lake Inflow,2017-06-12,2017,1.71,8.626666666666667,12.6,0.6166666666666667,1.8195000000000001,B1.7
Upstream Causeway,2017-06-12,2017,3.75,20.705,6.35,0.9,1.9224999999999999,B3.8
WTP Intake,2017-07-11,2017,25.24193885742915,25.01,6.7,1.1,1.309,B25.2
Above Outlet,2017-07-11,2017,29.08531002246053,15.16,3.8,1.4,1.114,B29.1
Opposite Parkview,2017-07-11,2017,19.80560678134186,39.48,9.8,1.1,1.437,B19.8
Opposite Sun Valley,2017-07-11,2017,13.012424221331809,24.06,7.2,1.2,1.278,B13.0
Opposite South Lake,2017-07-11,2017,8.986355671435067,14.37,6.4,1.1,1.164,B9.0
Below Causeway,2017-07-11,2017,5.241088960153036,7.57,11,0.9,1.526,B5.2
Lake Inflow,2017-07-11,2017,1.71,6.946666666666666,11.933333333333334,0.65,2.3754999999999997,B1.7
Upstream Causeway,2017-07-11,2017,3.75,3.34,0.795,NA,NA,B3.8
WTP Intake,2017-08-09,2017,25.24193885742915,27.27,25,0.47,2.83,B25.2
Above Outlet,2017-08-09,2017,29.08531002246053,44.02,20,0.53,4.05,B29.1
Opposite Parkview,2017-08-09,2017,19.80560678134186,75.03,18,0.57,2.416,B19.8
Opposite Sun Valley,2017-08-09,2017,13.012424221331809,50.7,12,0.8,1.957,B13.0
Opposite South Lake,2017-08-09,2017,8.986355671435067,60.08,18,0.7,2.249,B9.0
Below Causeway,2017-08-09,2017,5.241088960153036,47.86,17,0.8,2.389,B5.2
Lake Inflow,2017-08-09,2017,1.71,5.996666666666666,7.3,0.825,2.095,B1.7
Upstream Causeway,2017-08-09,2017,3.75,6.785,1.65,NA,0.988,B3.8
WTP Intake,2017-09-12,2017,25.24193885742915,NA,NA,NA,NA,B25.2
Above Outlet,2017-09-12,2017,29.08531002246053,NA,NA,NA,NA,B29.1
Opposite Parkview,2017-09-12,2017,19.80560678134186,NA,NA,NA,NA,B19.8
Opposite Sun Valley,2017-09-12,2017,13.012424221331809,NA,NA,NA,NA,B13.0
Opposite South Lake,2017-09-12,2017,8.986355671435067,NA,NA,NA,NA,B9.0
Below Causeway,2017-09-12,2017,5.241088960153036,NA,NA,NA,NA,B5.2
Lake Inflow,2017-09-12,2017,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2017-09-12,2017,3.75,NA,NA,NA,NA,B3.8
Below Causeway,2018-03-20,2018,5.241088960153036,NA,NA,NA,NA,B5.2
Opposite Parkview,2018-03-20,2018,19.80560678134186,NA,NA,NA,NA,B19.8
Opposite South Lake,2018-03-20,2018,8.986355671435067,NA,NA,NA,NA,B9.0
Above Outlet,2018-03-20,2018,29.08531002246053,NA,NA,NA,NA,B29.1
WTP Intake,2018-03-20,2018,25.24193885742915,NA,NA,NA,NA,B25.2
Opposite Sun Valley,2018-03-20,2018,13.012424221331809,NA,NA,NA,NA,B13.0
Lake Inflow,2018-03-20,2018,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2018-03-20,2018,3.75,NA,NA,NA,NA,B3.8
Opposite Sun Valley,2018-05-23,2018,13.012424221331809,NA,NA,NA,NA,B13.0
Opposite South Lake,2018-05-23,2018,8.986355671435067,NA,NA,NA,NA,B9.0
Opposite Parkview,2018-05-23,2018,19.80560678134186,NA,NA,NA,NA,B19.8
Above Outlet,2018-05-23,2018,29.08531002246053,NA,NA,NA,NA,B29.1
WTP Intake,2018-05-23,2018,25.24193885742915,NA,NA,NA,NA,B25.2
Below Causeway,2018-05-23,2018,5.241088960153036,NA,NA,NA,NA,B5.2
Lake Inflow,2018-05-23,2018,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2018-05-23,2018,3.75,NA,NA,NA,NA,B3.8
Above Outlet,2018-06-19,2018,29.08531002246053,NA,NA,NA,NA,B29.1
WTP Intake,2018-06-19,2018,25.24193885742915,NA,NA,NA,NA,B25.2
Opposite Parkview,2018-06-19,2018,19.80560678134186,NA,NA,NA,NA,B19.8
Opposite South Lake,2018-06-19,2018,8.986355671435067,NA,NA,NA,NA,B9.0
Opposite Sun Valley,2018-06-19,2018,13.012424221331809,NA,NA,NA,NA,B13.0
Below Causeway,2018-06-19,2018,5.241088960153036,NA,NA,NA,NA,B5.2
Lake Inflow,2018-06-19,2018,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2018-06-19,2018,3.75,NA,NA,NA,NA,B3.8
WTP Intake,2018-07-17,2018,25.24193885742915,NA,NA,NA,NA,B25.2
Above Outlet,2018-07-17,2018,29.08531002246053,NA,NA,NA,NA,B29.1
Opposite South Lake,2018-07-17,2018,8.986355671435067,NA,NA,NA,NA,B9.0
Opposite Parkview,2018-07-17,2018,19.80560678134186,NA,NA,NA,NA,B19.8
Opposite Sun Valley,2018-07-17,2018,13.012424221331809,NA,NA,NA,NA,B13.0
Lake Inflow,2018-07-17,2018,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2018-07-17,2018,3.75,NA,NA,NA,NA,B3.8
Above Outlet,2018-08-21,2018,29.08531002246053,NA,NA,NA,NA,B29.1
Below Causeway,2018-08-21,2018,5.241088960153036,NA,NA,NA,NA,B5.2
Opposite Sun Valley,2018-08-21,2018,13.012424221331809,NA,NA,NA,NA,B13.0
WTP Intake,2018-08-21,2018,25.24193885742915,NA,NA,NA,NA,B25.2
Opposite Parkview,2018-08-21,2018,19.80560678134186,NA,NA,NA,NA,B19.8
Lake Inflow,2018-08-21,2018,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2018-08-21,2018,3.75,NA,NA,NA,NA,B3.8
Opposite South Lake,2018-09-27,2018,8.986355671435067,NA,NA,NA,NA,B9.0
Opposite Parkview,2018-09-27,2018,19.80560678134186,NA,NA,NA,NA,B19.8
Below Causeway,2018-09-27,2018,5.241088960153036,NA,NA,NA,NA,B5.2
Opposite Sun Valley,2018-09-27,2018,13.012424221331809,NA,NA,NA,NA,B13.0
WTP Intake,2018-09-27,2018,25.24193885742915,NA,NA,NA,NA,B25.2
Above Outlet,2018-09-27,2018,29.08531002246053,NA,NA,NA,NA,B29.1
Lake Inflow,2018-09-27,2018,1.71,NA,NA,NA,NA,B1.7
Upstream Causeway,2018-09-27,2018,3.75,NA,NA,NA,NA,B3.8
Above Outlet,2019-04-22,2019,29.08531002246053,6.79,2.65,1.15,1.031,B29.1
Opposite Sun Valley,2019-04-22,2019,13.012424221331809,9.59,0.8,2,0.879,B13.0
WTP Intake,2019-04-22,2019,25.24193885742915,3.99,0.38,2.6,0.738,B25.2
Opposite Parkview,2019-04-22,2019,19.80560678134186,3.99,0.4,2.4,0.533,B19.8
Opposite South Lake,2019-04-22,2019,8.986355671435067,10.77,1.34,1.65,0.686,B9.0
Below Causeway,2019-04-22,2019,5.241088960153036,11.36,4.5,0.85,1.208,B5.2
Lake Inflow,2019-04-22,2019,1.71,45.306666666666665,14.4,0.3433333333333333,2.6243333333333334,B1.7
Upstream Causeway,2019-04-22,2019,3.75,11.36,4.72,0.75,1.2275,B3.8
Opposite Sun Valley,2019-05-28,2019,13.012424221331809,5.76,0.77,2.2,0.452,B13.0
Opposite South Lake,2019-05-28,2019,8.986355671435067,7.46,1.03,2.16,0.669,B9.0
Opposite Parkview,2019-05-28,2019,19.80560678134186,2.76,0.68,2.85,0.566,B19.8
WTP Intake,2019-05-28,2019,25.24193885742915,4.16,0.6,3.58,0.535,B25.2
Below Causeway,2019-05-28,2019,5.241088960153036,5.17,2.4,1.45,0.886,B5.2
Above Outlet,2019-05-28,2019,29.08531002246053,4.07,0.43,2.35,0.547,B29.1
Lake Inflow,2019-05-28,2019,1.71,9.956666666666667,7.083333333333334,0.48333333333333334,1.7186666666666666,B1.7
Upstream Causeway,2019-05-28,2019,3.75,5.6850000000000005,4.055,1,1.2635,B3.8
Below Causeway,2019-06-27,2019,5.241088960153036,5.84,0.51,2.39,0.761,B5.2
Opposite Parkview,2019-06-27,2019,19.80560678134186,51.05,6,1.36,0.738,B19.8
Opposite Sun Valley,2019-06-27,2019,13.012424221331809,20.5,1.45,2.42,0.719,B13.0
Opposite South Lake,2019-06-27,2019,8.986355671435067,7.74,NA,3.33,0.602,B9.0
WTP Intake,2019-06-27,2019,25.24193885742915,14.59,0.98,2.78,0.766,B25.2
Above Outlet,2019-06-27,2019,29.08531002246053,17.31,2.08,2.15,0.759,B29.1
Lake Inflow,2019-06-27,2019,1.71,8.436666666666667,5.166666666666666,0.6533333333333333,1.7445,B1.7
Upstream Causeway,2019-06-27,2019,3.75,2.745,0.665,1.625,NA,B3.8
Below Causeway,2019-07-22,2019,5.241088960153036,6.79,1.09,2.48,0.744,B5.2
Opposite South Lake,2019-07-22,2019,8.986355671435067,22.74,4.11,1.55,0.855,B9.0
Opposite Sun Valley,2019-07-22,2019,13.012424221331809,51.46,6.44,1.22,1.22,B13.0
Opposite Parkview,2019-07-22,2019,19.80560678134186,79.41,19.7,0.65,1.884,B19.8
Above Outlet,2019-07-22,2019,29.08531002246053,2.24,1.01,2.51,0.938,B29.1
WTP Intake,2019-07-22,2019,25.24193885742915,81.73,18.51,0.65,1.454,B25.2
Lake Inflow,2019-07-22,2019,1.71,6.533333333333333,4.9,1.1733333333333333,1.463,B1.7
Upstream Causeway,2019-07-22,2019,3.75,5.665,1.855,1.775,0.8345,B3.8
Below Causeway,2019-08-15,2019,5.241088960153036,13.06,3.7,1.4,1.094,B5.2
Opposite Sun Valley,2019-08-15,2019,13.012424221331809,110.3,24,0.6,2.744,B13.0
Opposite South Lake,2019-08-15,2019,8.986355671435067,117.89,23,0.6,2.752,B9.0
Opposite Parkview,2019-08-15,2019,19.80560678134186,141.52,26,0.6,2.939,B19.8
WTP Intake,2019-08-15,2019,25.24193885742915,92.7,17,0.6,2.541,B25.2
Above Outlet,2019-08-15,2019,29.08531002246053,40.38,11,1,NA,B29.1
Lake Inflow,2019-08-15,2019,1.71,7.63,6.3,0.7833333333333333,1.7846666666666666,B1.7
Upstream Causeway,2019-08-15,2019,3.75,4.3100000000000005,0.7350000000000001,2.1,0.5645,B3.8
Opposite Parkview,2019-09-23,2019,19.80560678134186,21.27,4.9,0.9,1.305,B19.8
Opposite South Lake,2019-09-23,2019,8.986355671435067,13.24,3,1.1,0.922,B9.0
WTP Intake,2019-09-23,2019,25.24193885742915,19.69,5.3,0.7,1.421,B25.2
Above Outlet,2019-09-23,2019,29.08531002246053,14.48,2.76,1.1,NA,B29.1
Below Causeway,2019-09-23,2019,5.241088960153036,11.32,4.7,1,1.322,B5.2
Opposite Sun Valley,2019-09-23,2019,13.012424221331809,15.33,3.4,1.3,0.902,B13.0
Lake Inflow,2019-09-23,2019,1.71,13.086666666666668,4.533333333333333,0.8,1.2946666666666666,B1.7
Upstream Causeway,2019-09-23,2019,3.75,3.835,1.82,1.7,0.9770000000000001,B3.8
Below Causeway,2018-03-20,2018,5.2,6.79,33,NA,NA,B5.2
Opposite South Lake,2018-03-20,2018,9,13.73,2.1,NA,NA,B9.0
Opposite Sun Valley,2018-03-20,2018,13,20.44,0.9,NA,NA,B13.0
Opposite Parkview,2018-03-20,2018,19.8,74.41,1.1,NA,NA,B19.8
WTP Intake,2018-03-20,2018,25.2,56.26,3.1,NA,NA,B25.2
Above Outlet,2018-03-20,2018,29.1,12.4,2.5,NA,NA,B29.1
Above Outlet,2018-05-23,2018,29.1,6,1.4,1.95,0.776,B29.1
WTP Intake,2018-05-23,2018,25.2,5.31,0.6,2.05,0.668,B25.2
Opposite Parkview,2018-05-23,2018,19.8,9.05,0.7,2.1,0.742,B19.8
Opposite Sun Valley,2018-05-23,2018,13,4.63,0.6,2.1,0.77,B13.0
Opposite South Lake,2018-05-23,2018,9,5.31,0.6,1.85,0.686,B9.0
Below Causeway,2018-05-23,2018,5.2,6,2.1,1.65,1.172,B5.2
Below Causeway,2018-06-19,2018,5.2,25.04,6.91,0.9,1.27,B5.2
Opposite South Lake,2018-06-19,2018,9,25.11,10.86,0.7,0.887,B9.0
Opposite Sun Valley,2018-06-19,2018,13,73.33,22.1,0.3,1.116,B13.0
Opposite Parkview,2018-06-19,2018,19.8,70.6,17,0.5,1.157,B19.8
WTP Intake,2018-06-19,2018,25.2,20.97,14.61,1.05,1.11,B25.2
Above Outlet,2018-06-19,2018,29.1,5.91,2.67,1.45,0.929,B29.1
WTP Intake,2018-07-17,2018,25.2,39.7,5.6,0.75,1.819,B25.2
Above Outlet,2018-07-17,2018,29.1,8.81,2.9,1.05,1.211,B29.1
Opposite Parkview,2018-07-17,2018,19.8,51.13,10.1,0.6,2.058,B19.8
Opposite Sun Valley,2018-07-17,2018,13,26.12,5.7,0.6,1.448,B13.0
Opposite South Lake,2018-07-17,2018,9,17.07,4.2,0.8,1.214,B9.0
Below Causeway,2018-07-17,2018,5.2,12.64,3.9,0.75,1.339,B5.2
WTP Intake,2018-08-21,2018,25.2,11.4,3.5,0.9,1.307,B25.2
Above Outlet,2018-08-21,2018,29.1,67.12,4,0.75,1.652,B29.1
Opposite Parkview,2018-08-21,2018,19.8,31.84,5.9,0.85,1.543,B19.8
Opposite Sun Valley,2018-08-21,2018,13,24.51,5.6,0.9,1.374,B13.0
Opposite South Lake,2018-08-21,2018,9,19.49,3.9,1,1.328,B9.0
Below Causeway,2018-08-21,2018,5.2,15.95,3.9,0.9,1.362,B5.2
Below Causeway,2018-09-27,2018,5.2,9.23,3.3,1.4,1.008,B5.2
Opposite South Lake,2018-09-27,2018,9,9.95,2.4,1.5,0.955,B9.0
Opposite Sun Valley,2018-09-27,2018,13,8.48,2.4,1.6,1.007,B13.0
Opposite Parkview,2018-09-27,2018,19.8,10.53,2.9,1.3,1.103,B19.8
WTP Intake,2018-09-27,2018,25.2,12.11,2.8,1.4,1.062,B25.2
Above Outlet,2018-09-27,2018,29.1,14.37,2.5,0.9,1.33,B29.1
Upstream Causeway,2018-05-23,2018,3.8,13.58,2.7,1.14,1.181,B3.8
Upstream Causeway,2018-06-19,2018,3.8,37.825,6.595,0.925,2.37,B3.8
Upstream Causeway,2018-07-17,2018,3.8,33.725,9.7,0.5,2.2125,B3.8
Upstream Causeway,2018-08-21,2018,3.8,11.335,1.85,1.35,1.1085,B3.8
Upstream Causeway,2018-09-27,2018,3.8,8.025,10.75,0.8,2.2235,B3.8
Lake Inflow,2018-05-23,2018,1.7,4.63,12.4,0.5,2.688,B1.7
Lake Inflow,2018-06-19,2018,1.7,66.31,16.285,0.6,2.608,B1.7
Lake Inflow,2018-07-17,2018,1.7,29.245,13.85,0.375,3.018,B1.7
Lake Inflow,2018-08-21,2018,1.7,5.6,4,0.95,1.482,B1.7
Lake Inflow,2018-09-27,2018,1.7,20.54,13.65,0.45,2.303,B1.7
