station.number,station.name,latitude,longitude,date.time_yyyy.mm.dd.hh.mm.ss,sample.depth_m,chlorophyll.a_ug.L,TSS_mg.L,turbidity.field_NTU,turbidity.lab_NTU,secchi.depth_m,PAR.extinction_per.m,lake.depth_m
SK05JG0223,BUFFALO POUND LK.-UPSTRM OF CSWY E. SIDE (SWA),50.72217,-105.59931,2015-06-01T09:00:00Z,1,13.57,26,26,11,0.23,2.629,2
SK05JG0222,BUFFALO POUND LK.-UPSTRM OF CSWY W. SIDE (SWA),50.72074,-105.60694,2015-06-01T09:20:00Z,1,6.78,5,6.6,3.5,0.9,1.314,2
SK05JG0220,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE R. (SWA),50.73569,-105.62639,2015-06-01T09:50:00Z,1,8.99,18,15,7.4,0.25,2.174,1.45
SK05JG0225,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE E. (SWA),50.73632,-105.62371,2015-06-01T10:05:00Z,1,23.59,37,31,14,1.55,3.715,0.2
SK05JG0224,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE W. (SWA),50.73463,-105.62926,2015-06-01T10:25:00Z,0.7,7.89,10,13.95,4.4,0.5,0.944,1.15
SK05JG0094,BUFFALO POUND LK.-0.5MI. BELOW CAUSEWAY; OPP.,50.71159,-105.58777,2015-06-01T11:05:00Z,1,14.87,6,5.1,3.6,1.1,1.147,2.9
SK05JG0095,BUFFALO POUND LK.-3MI. BELOW CAUSEWAY;OPP.START OF,50.68295,-105.5591,2015-06-01T11:30:00Z,1,9.84,4,3.9,3.7,1.8,0.879,3.9
SK05JG0096,BUFFALO POUND LK.-OPP. SUN VALLEY;OPP.ENTRANCE RD.,50.65615,-105.52058,2015-06-01T12:00:00Z,1,24.61,5,3.8,15,1.3,0.987,4.4
SK05JG0096,BUFFALO POUND LK.-OPP. SUN VALLEY;OPP.ENTRANCE RD.,50.65615,-105.52058,2015-06-01T12:15:00Z,3.5,12.39,5,4.4,2.3,1.3,0.987,4.4
SK05JG0098,BUFFALO POUND LK.-10MI.BELOW CAUSEWAY OPP.PROV.PK.,50.6178,-105.44383,2015-06-01T13:55:00Z,1,33.08,6,4.4,22,1.1,1.092,4.6
SK05JG0102,BUFFALO POUND LK.-OPP. PLANT INTAKE @ MID-LK. (B8,50.58653,-105.38421,2015-06-01T14:30:00Z,1,22.74,5,3.3,13,1.35,1.145,4
SK05JG0102,BUFFALO POUND LK.-OPP. PLANT INTAKE @ MID-LK. (B8,50.58653,-105.38421,2015-06-01T14:50:00Z,3,18.2,8,3.5,3.9,1.35,1.145,4
SK05JG0104,BUFFALO POUND LK.-0.5MI.ABOVE OUTLET FROM BPL @MID,50.57318,-105.34174,2015-06-01T15:10:00Z,1,13.73,5,5.3,10,1.3,1.282,2.4
SK05JG0223,BUFFALO POUND LK.-UPSTRM OF CSWY E. SIDE (SWA),50.72217,-105.59931,2015-06-10T09:45:00Z,1,15.48,8,6.4,5.9,0.9,1.53,2.1
SK05JG0222,BUFFALO POUND LK.-UPSTRM OF CSWY W. SIDE (SWA),50.72074,-105.60694,2015-06-10T10:25:00Z,1,7.26,6,6.3,4.5,1.1,1.143,2.1
SK05JG0220,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE R. (SWA),50.73569,-105.62639,2015-06-10T11:00:00Z,1,9.73,17,15.1,11,0.5,2.131,1.55
SK05JG0225,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE E. (SWA),50.73632,-105.62371,2015-06-10T11:15:00Z,1,11.37,19,18.4,9.8,0.5,2.437,1.5
SK05JG0224,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE W. (SWA),50.73463,-105.62926,2015-06-10T11:35:00Z,0.7,7.44,13,17.85,12,0.4,2.2,1.25
SK05JG0094,BUFFALO POUND LK.-0.5MI. BELOW CAUSEWAY; OPP.,50.71159,-105.58777,2015-06-10T12:00:00Z,1,10.26,3,2.7,2.7,1.8,0.812,3
SK05JG0095,BUFFALO POUND LK.-3MI. BELOW CAUSEWAY;OPP.START OF,50.68295,-105.5591,2015-06-10T12:25:00Z,1,7.26,2,1.8,1.6,2.1,0.76,3.9
SK05JG0096,BUFFALO POUND LK.-OPP. SUN VALLEY;OPP.ENTRANCE RD.,50.65615,-105.52058,2015-06-10T12:50:00Z,1,10.45,4,2.1,2.3,1.9,0.79,4
SK05JG0098,BUFFALO POUND LK.-10MI.BELOW CAUSEWAY OPP.PROV.PK.,50.6178,-105.44383,2015-06-10T13:20:00Z,1,24.57,6,5.2,5.9,1.3,1.086,4.6
SK05JG0102,BUFFALO POUND LK.-OPP. PLANT INTAKE @ MID-LK. (B8,50.58653,-105.38421,2015-06-10T13:45:00Z,1,31.15,7,5.6,8.7,1.2,1.21,3.95
SK05JG0104,BUFFALO POUND LK.-0.5MI.ABOVE OUTLET FROM BPL @MID,50.57318,-105.34174,2015-06-10T14:20:00Z,1,45.37,15,8.4,24,0.6,1.774,2.4
SK05JG0102,BUFFALO POUND LK.-OPP. PLANT INTAKE @ MID-LK. (B8,50.58653,-105.38421,2015-07-13T09:40:00Z,1,18.75,5,4.5,12,1.4,1.177,4
SK05JG0104,BUFFALO POUND LK.-0.5MI.ABOVE OUTLET FROM BPL @MID,50.57318,-105.34174,2015-07-13T10:10:00Z,1,14.25,3,NA,7.5,1.2,1.621,2.4
SK05JG0098,BUFFALO POUND LK.-10MI.BELOW CAUSEWAY OPP.PROV.PK.,50.6178,-105.44383,2015-07-13T10:55:00Z,1,47.18,9,11,26,0.9,1.515,4.5
SK05JG0096,BUFFALO POUND LK.-OPP. SUN VALLEY;OPP.ENTRANCE RD.,50.65615,-105.52058,2015-07-13T11:25:00Z,1,53.29,10,13,17,0.85,1.598,4.2
SK05JG0096,BUFFALO POUND LK.-OPP. SUN VALLEY;OPP.ENTRANCE RD.,50.65615,-105.52058,2015-07-13T11:40:00Z,3.5,12.39,5,13,2.4,0.85,1.598,4.2
SK05JG0095,BUFFALO POUND LK.-3MI. BELOW CAUSEWAY;OPP.START OF,50.68295,-105.5591,2015-07-13T12:00:00Z,1,63.64,10,18,25,0.8,2.16,3.9
SK05JG0094,BUFFALO POUND LK.-0.5MI. BELOW CAUSEWAY; OPP.,50.71159,-105.58777,2015-07-13T12:30:00Z,1,14.17,5,5.8,5.5,1.2,1.202,3
SK05JG0220,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE R. (SWA),50.73569,-105.62639,2015-07-13T13:00:00Z,1,11.21,13,9.2,4.2,0.8,1.285,1.5
SK05JG0223,BUFFALO POUND LK.-UPSTRM OF CSWY E. SIDE (SWA),50.72217,-105.59931,2015-07-14T08:40:00Z,1,6.68,4,4.7,1.3,1.7,0.964,2.1
SK05JG0222,BUFFALO POUND LK.-UPSTRM OF CSWY W. SIDE (SWA),50.72074,-105.60694,2015-07-14T09:25:00Z,1,7.25,8,9.1,2.8,1,1.524,2
SK05JG0224,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE W. (SWA),50.73463,-105.62926,2015-07-14T09:45:00Z,0.7,8.94,14,14,5.4,0.7,2.105,1.2
SK05JG0225,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE E. (SWA),50.73632,-105.62371,2015-07-14T10:00:00Z,1,14.15,27,24.9,7.6,0.45,2.928,1.6
SK05JG0220,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE R. (SWA),50.73569,-105.62639,2015-08-24T09:55:00Z,1,14.07,16,15.3,6.2,0.6,2.174,1.7
SK05JG0225,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE E. (SWA),50.73632,-105.62371,2015-08-24T10:10:00Z,1,15.1,21,24.6,7.9,0.4,2.169,1.7
SK05JG0224,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE W. (SWA),50.73463,-105.62926,2015-08-24T10:25:00Z,1,10.18,11,11,5.1,0.6,1.802,1.4
SK05JG0222,BUFFALO POUND LK.-UPSTRM OF CSWY W. SIDE (SWA),50.72074,-105.60694,2015-08-24T10:45:00Z,1,28.02,16,18,8.6,0.4,2.215,2.25
SK05JG0223,BUFFALO POUND LK.-UPSTRM OF CSWY E. SIDE (SWA),50.72217,-105.59931,2015-08-24T11:20:00Z,1,38.56,17,19,8.2,0.4,2.919,2.2
SK05JG0094,BUFFALO POUND LK.-0.5MI. BELOW CAUSEWAY; OPP.,50.71159,-105.58777,2015-08-24T11:45:00Z,1,21.73,11,12,6.9,0.6,1.611,3.2
SK05JG0095,BUFFALO POUND LK.-3MI. BELOW CAUSEWAY;OPP.START OF,50.68295,-105.5591,2015-08-24T12:10:00Z,1,38.7,11,9.7,6.4,0.7,1.638,4.1
SK05JG0096,BUFFALO POUND LK.-OPP. SUN VALLEY;OPP.ENTRANCE RD.,50.65615,-105.52058,2015-08-24T12:40:00Z,1,26.79,9,9.5,8.7,0.9,1.526,4.4
SK05JG0098,BUFFALO POUND LK.-10MI.BELOW CAUSEWAY OPP.PROV.PK.,50.6178,-105.44383,2015-08-24T13:15:00Z,1,38.32,10,9,6.5,0.9,1.557,4.7
SK05JG0102,BUFFALO POUND LK.-OPP. PLANT INTAKE @ MID-LK. (B8,50.58653,-105.38421,2015-08-24T13:45:00Z,1,56.32,12,13,9.7,0.7,1.994,4.2
SK05JG0104,BUFFALO POUND LK.-0.5MI.ABOVE OUTLET FROM BPL @MID,50.57318,-105.34174,2015-08-24T14:15:00Z,1,99.77,21,28,27,0.4,2.459,2.5
SK05JG0102,BUFFALO POUND LK.-OPP. PLANT INTAKE @ MID-LK. (B8,50.58653,-105.38421,2015-10-21T11:00:00Z,1,13.07,6,6.2,3.2,1.1,1.145,3.6
SK05JG0104,BUFFALO POUND LK.-0.5MI.ABOVE OUTLET FROM BPL @MID,50.57318,-105.34174,2015-10-21T11:45:00Z,1,17.13,12,8.8,4.2,0.8,2.634,2.1
SK05JG0098,BUFFALO POUND LK.-10MI.BELOW CAUSEWAY OPP.PROV.PK.,50.6178,-105.44383,2015-10-21T12:40:00Z,1,14.25,8,5.5,3.5,1.1,1.25,4.1
SK05JG0096,BUFFALO POUND LK.-OPP. SUN VALLEY;OPP.ENTRANCE RD.,50.65615,-105.52058,2015-10-21T13:25:00Z,1,12.29,7,4.5,3.6,1,1.215,3.7
SK05JG0095,BUFFALO POUND LK.-3MI. BELOW CAUSEWAY;OPP.START OF,50.68295,-105.5591,2015-10-21T13:50:00Z,1,12.38,7,5.5,4,1,1.291,3.5
SK05JG0094,BUFFALO POUND LK.-0.5MI. BELOW CAUSEWAY; OPP.,50.71159,-105.58777,2015-10-21T14:15:00Z,1,10.66,11,11,7.2,0.6,1.675,2.7
SK05JG0223,BUFFALO POUND LK.-UPSTRM OF CSWY E. SIDE (SWA),50.72217,-105.59931,2015-10-21T14:50:00Z,1,12.42,9,10.7,5.4,0.9,1.793,1.6
SK05JG0222,BUFFALO POUND LK.-UPSTRM OF CSWY W. SIDE (SWA),50.72074,-105.60694,2015-10-21T15:30:00Z,1,12.5,10,11.6,7,0.7,1.634,1.7
SK05JG0224,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE W. (SWA),50.73463,-105.62926,2015-10-21T15:55:00Z,0.5,16.62,17,15.9,7.8,0.6,2.25,0.75
SK05JG0220,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE R. (SWA),50.73569,-105.62639,2015-10-21T16:15:00Z,0.5,9.59,15,20.2,8,0.5,2.004,1.1
SK05JG0225,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE E. (SWA),50.73632,-105.62371,2015-10-21T16:40:00Z,0.5,10.18,14,16.3,6.9,0.55,2.115,1.1
SK05JG0102,BUFFALO POUND LK.-OPP. PLANT INTAKE @ MID-LK. (B8,50.58653,-105.38421,2016-04-12T09:45:00Z,1,8.37,7,7.4,3.4,0.8,1.137,4
SK05JG0104,BUFFALO POUND LK.-0.5MI.ABOVE OUTLET FROM BPL @MID,50.57318,-105.34174,2016-04-12T10:30:00Z,1,11.31,10,10.7,4.5,0.7,1.557,2.45
SK05JG0098,BUFFALO POUND LK.-10MI.BELOW CAUSEWAY OPP.PROV.PK.,50.6178,-105.44383,2016-04-12T11:00:00Z,1,9.84,5,5,2.7,1.1,1.043,4.65
SK05JG0096,BUFFALO POUND LK.-OPP. SUN VALLEY;OPP.ENTRANCE RD.,50.65615,-105.52058,2016-04-12T11:40:00Z,1,10.53,4,4.3,2.1,1.2,0.911,4.1
SK05JG0095,BUFFALO POUND LK.-3MI. BELOW CAUSEWAY;OPP.START OF,50.68295,-105.5591,2016-04-12T12:10:00Z,1,15.15,8,9.1,3.4,0.75,1.262,3.95
SK05JG0094,BUFFALO POUND LK.-0.5MI. BELOW CAUSEWAY; OPP.,50.71159,-105.58777,2016-04-12T12:40:00Z,1,12.21,7,7.3,2.9,1,1.376,3.1
SK05JG0232,BUFFALO POUND LK.-0.5MI. BELOW CSWY W. SIDE (SWA),50.71074,-105.59017,2016-04-12T13:00:00Z,1,21.54,33,35,16,0.4,2.673,3
SK05JG0222,BUFFALO POUND LK.-UPSTRM OF CSWY W. SIDE (SWA),50.72074,-105.60694,2016-04-12T13:20:00Z,1,27.14,57,75,10,0.2,4.213,2.05
SK05JG0223,BUFFALO POUND LK.-UPSTRM OF CSWY E. SIDE (SWA),50.72217,-105.59931,2016-04-12T14:10:00Z,0.1,29.19,55,78,36,0.2,4.48,2.1
SK05JG0224,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE W. (SWA),50.73463,-105.62926,2016-04-12T14:30:00Z,0.1,33.93,62,79,35,0.2,NA,1.3
SK05JG0220,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE R. (SWA),50.73569,-105.62639,2016-04-12T14:55:00Z,0.1,31.56,63,76,36,0.2,NA,1.55
SK05JG0225,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE E. (SWA),50.73632,-105.62371,2016-04-12T15:10:00Z,0.1,29.51,56,75,37,0.2,NA,1.6
SK05JG0102,BUFFALO POUND LK.-OPP. PLANT INTAKE @ MID-LK. (B8,50.58653,-105.38421,2016-05-19T09:45:00Z,1,2.24,4,1.1,1.2,2.9,0.569,3.95
SK05JG0104,BUFFALO POUND LK.-0.5MI.ABOVE OUTLET FROM BPL @MID,50.57318,-105.34174,2016-05-19T10:15:00Z,1,3.19,3,1.8,1.5,NA,0.68,2.35
SK05JG0098,BUFFALO POUND LK.-10MI.BELOW CAUSEWAY OPP.PROV.PK.,50.6178,-105.44383,2016-05-19T11:05:00Z,1,3.19,4,0.9,0.76,3.1,0.632,4.5
SK05JG0096,BUFFALO POUND LK.-OPP. SUN VALLEY;OPP.ENTRANCE RD.,50.65615,-105.52058,2016-05-19T11:50:00Z,1,6.38,4,1.1,1.6,2.8,0.579,4.1
SK05JG0096,BUFFALO POUND LK.-OPP. SUN VALLEY;OPP.ENTRANCE RD.,50.65615,-105.52058,2016-05-19T12:00:00Z,3,7.26,3,1.1,1.1,2.8,0.579,4.1
SK05JG0095,BUFFALO POUND LK.-3MI. BELOW CAUSEWAY;OPP.START OF,50.68295,-105.5591,2016-05-19T12:40:00Z,1,4.48,3,1.6,1.2,3,0.48,3.65
SK05JG0094,BUFFALO POUND LK.-0.5MI. BELOW CAUSEWAY; OPP.,50.71159,-105.58777,2016-05-19T13:40:00Z,1,3.99,3,2.1,4.7,2.4,0.74,3
SK05JG0232,BUFFALO POUND LK.-0.5MI. BELOW CSWY W. SIDE (SWA),50.71074,-105.59017,2016-05-19T14:00:00Z,1,4.55,3,3.7,3.4,2.3,0.588,2.9
SK05JG0222,BUFFALO POUND LK.-UPSTRM OF CSWY W. SIDE (SWA),50.72074,-105.60694,2016-05-19T14:20:00Z,1,4.07,3,3.7,2.1,1.5,1.124,1.8
SK05JG0223,BUFFALO POUND LK.-UPSTRM OF CSWY E. SIDE (SWA),50.72217,-105.59931,2016-05-19T15:10:00Z,1,4.07,3,2.9,2.2,1.6,0.965,2.1
SK05JG0224,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE W. (SWA),50.73463,-105.62926,2016-05-19T15:30:00Z,1,7.8,12,11.1,5,0.8,1.421,1.2
SK05JG0220,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE R. (SWA),50.73569,-105.62639,2016-05-19T15:50:00Z,1,9.41,13,15,8,0.7,1.682,1.5
SK05JG0225,BUFFALO POUND LK.-1.5KM DNSTRM QU'APPELLE E. (SWA),50.73632,-105.62371,2016-05-19T16:10:00Z,1,6.79,9,9.3,4.9,0.7,1.294,1.5
