"","Site","region","ex.50","H.ex.50","canopy","H.CLs_n.meq","CLs_n.meq","CLs.meq","H.CLs.meq","Sdep","Sdep.meq","g.m2013.S_eq.ha","g.m2013.N_eq.ha","SNdep.meq","s.exceed","sn.exceed","Ndep","Ndep.meq","s.exceed.H","sn.exceed.H."
"135","E01-01","MBU",20.61444432,10.4120613,"trembling aspen",15.2695408,33.04471006,16.99512975,4.323796055,130.7482605,13.07482605,130.7482605,39.03248215,16.97807426,3.9203037,24.53474802,57.1628723145,5.71628723145,-8.751029995,1.661031305
"136","E01-03","MBU",13.86995697,6.623890084,"jack pine",15.70659932,33.58387608,17.53429576,4.760854579,111.4235077,11.14235077,111.4235077,42.73540878,15.41589165,6.39194499,20.26190196,42.735408783,4.2735408783,-6.381496191,0.242393893
"137","E02-01","MBU",20.71760559,10.51337128,"trembling aspen",392.6058058,437.6175887,413.4282632,376.3581407,151.3875275,15.13875275,151.3875275,55.98140717,20.73689346,398.28951045,419.00711604,55.9814071655,5.59814071655,361.21938795,371.73275923
"138","E02-02","MBU",8.812436856,0.839420329,"white spruce",81.03615861,97.93813259,84.06374248,73.10634195,146.7073975,14.67073975,146.7073975,70.2703476,21.69777451,69.39300273,78.205439586,70.2703475952,7.02703475952,58.4356022,59.275022529
"139","E02-03","MBU",11.87532844,4.747495898,"jack pine",77.2569892,93.37406308,77.32448276,66.31124446,130.0935669,13.00935669,130.0935669,60.91455078,19.10081177,64.31512607,76.19045451,60.9145507813,6.09145507813,53.30188777,58.049383668
"140","E03-01","MBU",12.96368169,5.883165341,"jack pine",37.42837818,53.83405345,37.78447313,26.48263343,118.3939743,11.83939743,118.3939743,49.35452271,16.7748497,25.9450757,38.90875739,49.3545227051,4.93545227051,14.643236,20.526401341
"141","E03-02","MBU",11.86967359,4.775559878,"jack pine",27.90206391,44.50087895,28.45129863,16.95631917,125.0124435,12.50124435,125.0124435,60.76072311,18.57731667,15.95005428,27.81972787,60.760723114,6.0760723114,4.45507482,9.230634698
"142","E04-01","MBU",21.1460629,11.26088618,"trembling aspen",42.33125779,50.27291811,26.08359267,26.08359267,163.9026031,16.39026031,163.9026031,48.87866211,21.27812653,9.69333236,30.83939526,48.8786621094,4.88786621094,9.69333236,20.95421854
"143","E04-02","MBU",12.09973463,4.915965094,"jack pine",22.88526341,39.74569457,23.69611426,11.93951867,166.6750641,16.66750641,166.6750641,59.46178055,22.61368446,7.02860785,19.12834248,59.4617805481,5.94617805481,-4.72798774,0.187977353999998
"144","E05-01","MBU",11.42885321,4.258569016,"jack pine",204.8152597,220.7735686,204.7239883,193.8695149,140.9656982,14.09656982,140.9656982,66.17572784,20.71414261,190.62741848,202.05627169,66.1757278442,6.61757278442,179.77294508,184.031514096
"145","E05-02","MBU",19.23475139,9.291325829,"trembling aspen",62.86815616,70.80981649,46.62049104,46.62049104,127.1691818,12.71691818,127.1691818,69.49704742,19.66662292,33.90357286,53.13832425,69.4970474243,6.94970474243,33.90357286,43.194898689
"146","E05-03","MBU",19.04530471,8.845851989,"trembling aspen",157.0104567,202.3336225,178.1442971,140.7627916,133.4259796,13.34259796,133.4259796,72.62211609,20.60480957,164.80169914,183.84700385,72.6221160889,7.26221160889,127.42019364,136.266045629
"147","E06-01","MBU",20.46747009,10.50459582,"trembling aspen",43.43506405,51.37672438,27.18739893,27.18739893,122.6026993,12.26026993,122.6026993,56.74147034,17.93441696,14.927129,35.39459909,56.7414703369,5.67414703369,14.927129,25.43172482
"148","E06-02","MBU",10.87251435,3.688932854,"jack pine",34.0443936,50.59394757,34.54436725,23.09864886,144.0491486,14.40491486,144.0491486,72.67503357,21.67241821,20.13945239,31.01196674,72.6750335693,7.26750335693,8.693734,12.382666854
"149","E06-03","MBU",11.68701336,4.368150128,"jack pine",24.08013571,40.74470105,24.69512073,13.13439096,119.0703735,11.90703735,119.0703735,64.65995789,18.37303314,12.78808338,24.47509674,64.6599578857,6.46599578857,1.22735361,5.595503738
"150","E07-01","MBU",7.948614568,-0.006726404,"white spruce",262.6141292,279.3539428,265.4795527,254.6843126,130.486969,13.0486969,130.486969,78.48556519,20.89725342,252.4308558,260.379470368,78.4855651855,7.84855651855,241.6356157,241.628889296
"151","E07-02","MBU",9.760669653,2.518855251,"jack pine",51.34563845,67.53218186,51.48260154,40.39989371,144.3614044,14.43614044,144.3614044,82.97634888,22.73377533,37.0464611,46.807130753,82.976348877,8.2976348877,25.96375327,28.482608521
"152","E07-03","MBU",18.99284034,8.799480136,"trembling aspen",58.23606671,66.17772704,41.98840159,41.98840159,157.4769287,15.74769287,157.4769287,73.20433807,23.06812668,26.24070872,45.23354906,73.2043380737,7.32043380737,26.24070872,35.040188856
"153","E09-01","MBU",11.02213029,3.999579461,"jack pine",22.78741643,39.56662339,23.51704307,11.84167169,153.635025,15.3635025,153.635025,68.44928741,22.20843124,8.15354057,19.17567086,68.4492874146,6.84492874146,-3.52183081,0.477748651000001
"154","E09-02","MBU",10.48594503,3.313113259,"jack pine",24.2156373,40.96382381,24.9142435,13.26989256,141.7162628,14.17162628,141.7162628,76.06684875,21.77831116,10.74261722,21.22856225,76.0668487549,7.60668487549,-0.901733719999999,2.411379539
"155","E09-03","MBU",20.02770423,10.0834651,"trembling aspen",44.7352561,52.67691643,28.48759098,28.48759098,144.1683044,14.41683044,144.1683044,61.72608948,20.58943939,14.07076054,34.09846477,61.7260894775,6.17260894775,14.07076054,24.15422564
"156","E10-01","MBU",15.67364054,5.590441989,"trembling aspen",280.3125339,325.5414404,301.3521149,264.0648688,132.7861023,13.27861023,132.7861023,104.8113098,23.75974121,288.07350467,303.74714521,104.8113098145,10.48113098145,250.78625857,256.376700559
"157","E10-02","MBU",1.474632234,-6.531899599,"white spruce",47.25879141,63.2998997,49.34588533,38.35766447,119.5164185,11.95164185,119.5164185,144.0521851,26.35686035,37.39424348,38.868875714,144.0521850586,14.40521850586,26.40602262,19.874123021
"158","E11-01","MBU",10.4422324,3.211488619,"jack pine",32.25920938,48.79683115,32.74725083,21.31346464,117.0401993,11.70401993,117.0401993,75.90605164,19.29462509,21.0432309,31.4854633,75.9060516357,7.59060516357,9.60944471,12.820933329
"159","E11-02","MBU",16.49391139,6.5163949,"trembling aspen",70.93103245,116.6531016,92.46377611,54.68336733,101.3148727,10.13148727,101.3148727,96.15337372,19.74682465,82.33228884,98.82620023,96.1533737183,9.61533737183,44.55188006,51.06827496
"160","E12-01","MBU",11.43622536,4.258818208,"jack pine",126.1691049,142.1578347,126.1082544,115.2233602,120.5663757,12.05663757,120.5663757,65.63082123,18.6197197,114.05161683,125.48784219,65.630821228,6.5630821228,103.16672263,107.425540838
"161","E12-02","MBU",11.03043723,3.936999096,"jack pine",386.1089296,401.9734018,385.9238215,375.1631849,114.955658,11.4955658,114.955658,69.72931671,18.46849747,374.4282557,385.45869293,69.7293167114,6.97293167114,363.6676191,367.604618196
"162","E12-03","MBU",10.98540262,3.834706365,"jack pine",324.6290269,340.4929244,324.4433441,313.6832822,111.4850311,11.14850311,111.4850311,69.65512848,18.11401596,313.29484099,324.28024361,69.655128479,6.9655128479,302.53477909,306.369485455
"163","E13-01","MBU",9.372273162,1.333498486,"white spruce",30.22683735,47.45234532,33.57795521,22.29702069,118.8368759,11.88368759,118.8368759,64.76428223,18.36011581,21.69426762,31.066540782,64.7642822266,6.47642822266,10.4133331,11.746831586
"164","E13-02","MBU",10.20993904,2.256795063,"white spruce",55.22665958,72.48763674,58.61324663,47.29684292,111.5479126,11.15479126,111.5479126,55.74179459,16.72897072,47.45845537,57.66839441,55.7417945862,5.57417945862,36.14205166,38.398846723
"165","E14-01","MBU",9.561756135,2.481306191,"jack pine",50.26196187,66.38183955,50.33225923,39.31621713,153.3419037,15.33419037,153.3419037,83.98532867,23.73272324,34.99806886,44.559824995,83.9853286743,8.39853286743,23.98202676,26.463332951
"166","E14-02","MBU",9.449200632,2.283730125,"jack pine",47.43614686,63.61382817,47.56424785,36.49040212,125.8144531,12.58144531,125.8144531,86.15288544,21.19673386,34.98280254,44.432003172,86.152885437,8.6152885437,23.90895681,26.192686935
"167","E15-01","MBU",7.787819049,-0.293274999,"white spruce",180.4156495,197.2174772,183.3430871,172.4563643,106.8786926,10.68786926,106.8786926,81.26274109,18.81414337,172.65521784,180.443036889,81.2627410889,8.12627410889,161.76849504,161.475220041
"168","E15-02","MBU",17.0658752,7.026457261,"trembling aspen",1116.976996,1161.854026,1137.664701,1100.729331,117.2711792,11.72711792,117.2711792,91.3766861,20.86478653,1125.93758308,1143.00345828,91.3766860962,9.13766860962,1089.00221308,1096.028670341
"169","E15-03","MBU",17.49728952,7.237866644,"trembling aspen",326.2145713,371.3924642,347.2031387,309.9669062,111.3378448,11.13378448,111.3378448,88.50360107,19.98414459,336.06935422,353.56664374,88.5036010742,8.85036010742,298.83312172,306.070988364
"170","E16-01","MBU",14.45135744,4.503410496,"trembling aspen",347.8173744,392.8675112,368.6781858,331.5697093,119.1068192,11.91068192,119.1068192,116.5094986,23.56163177,356.76750388,371.21886132,116.5094985962,11.65094985962,319.65902738,324.162437876
"171","E16-02","MBU",15.64768072,5.601005554,"trembling aspen",221.4840138,266.6722659,242.4829404,205.2363487,106.9512558,10.69512558,106.9512558,104.5120621,21.14633179,231.78781482,247.43549554,104.5120620728,10.45120620728,194.54122312,200.142228674
"172","E16-03","MBU",16.14504799,6.374653398,"trembling aspen",469.4315185,514.42232,490.2329945,453.1838534,110.1210403,11.01210403,110.1210403,98.73836517,20.88594055,479.22089047,495.36593846,98.7383651733,9.87383651733,442.17174937,448.546402768
"173","E17-01","MBU",13.1414045,3.267295999,"trembling aspen",240.128017,285.3770606,261.1877352,223.8803519,112.943222,11.2943222,112.943222,129.129715,24.2072937,249.893413,263.0348175,129.1297149658,12.91297149658,212.5860297,215.853325699
"174","E17-02","MBU",6.405576735,-0.765262428,"jack pine",340.9282945,356.6742147,340.6246344,329.8738514,111.5754166,11.15754166,111.5754166,116.7040024,22.82794189,329.46709274,335.872669475,116.7040023804,11.67040023804,318.71630974,317.951047312
"175","E18-01","MBU",8.608932734,0.530035633,"white spruce",348.471592,365.1629384,351.2885483,340.5417753,97.44571686,9.744571686,97.44571686,72.92560577,17.03713226,341.543976614,350.152909348,72.9256057739,7.29256057739,330.797203614,331.327239247
"176","E19-01","MBU",12.4962914,5.217260087,"jack pine",101.5947912,117.7210738,101.6714934,90.64904642,102.0092773,10.20092773,102.0092773,56.65642548,15.86657028,91.47056567,103.96685707,56.6564254761,5.66564254761,80.44811869,85.665378777
"177","E20-01","MBU",20.63849018,NA,"black spruce",357.9692562,355.9342562,331.0083364,NA,92.75639343,9.275639343,92.75639343,61.69091797,15.44473114,321.732697057,342.371187237,61.6909179688,6.16909179688,NA,NA
"178","E20-02","MBU",20.11938571,10.11328177,"trembling aspen",320.4172681,365.663246,341.4739206,304.169603,88.02622223,8.802622223,88.02622223,60.53166962,14.85578918,332.671298377,352.790684087,60.5316696167,6.05316696167,295.366980777,305.480262547
"179","E20-03","MBU",21.2813974,11.0025039,"trembling aspen",335.0467642,380.2768643,356.0875388,318.7990991,104.8741608,10.48741608,104.8741608,51.74478531,15.66189461,345.60012272,366.88152012,51.7447853088,5.17447853088,308.31168302,319.31418692
"180","E21-01","MBU",18.11322105,8.009206601,"trembling aspen",127.7360065,173.2554509,149.0661254,111.4883414,101.424881,10.1424881,101.424881,80.57113647,18.19960175,138.9236373,157.03685835,80.5711364746,8.05711364746,101.3458533,109.355059901
"181","E21-02","MBU",10.42205598,3.2684654,"jack pine",177.7342996,193.6708628,177.6212825,166.7885549,101.352356,10.1352356,101.352356,75.3003006,17.66526566,167.4860469,177.90810288,75.3003005981,7.53003005981,156.6533193,159.9217847
"182","E22-01","MBU",8.258201213,1.079677276,"jack pine",593.8055732,609.634913,593.5853327,582.8598284,106.6227798,10.66227798,106.6227798,98.35836792,20.49811478,582.92305472,591.181255933,98.3583679199,9.83583679199,572.19755042,573.277227696
"183","E22-02","MBU",16.45109779,6.579327495,"trembling aspen",401.4034169,446.4390834,422.2497579,385.1557517,106.0803604,10.60803604,106.0803604,94.67896271,20.07593231,411.64172186,428.09281965,94.6789627075,9.46789627075,374.54771566,381.127043155
"184","E23-01","MBU",12.31163496,4.979991804,"jack pine",142.5208886,158.5744502,142.5248699,131.5751438,77.4826889,7.74826889,77.4826889,58.44971085,13.59323997,134.77660101,147.08823597,58.4497108459,5.84497108459,123.82687491,128.806866714
"185","E24-01","MBU",11.93844996,4.644801068,"jack pine",100.704424,116.8209221,100.7713418,89.75867925,95.30779266,9.530779266,95.30779266,62.88567734,15.819347,91.240562534,103.179012494,62.8856773376,6.28856773376,80.227899984,84.872701052
"186","E24-02","MBU",19.81248483,NA,"black spruce",491.702476,489.667476,464.7415562,NA,91.43247986,9.143247986,91.43247986,70.85668182,16.22891617,455.598308214,475.410793044,70.8566818237,7.08566818237,NA,NA
"187","E24-03","MBU",10.2832662,3.136120835,"jack pine",49.55482876,65.94089364,49.89131332,38.60908402,93.86325073,9.386325073,93.86325073,77.80719757,17.16704483,40.504988247,50.788254447,77.8071975708,7.78071975708,29.222758947,32.358879782
"188","E25-01","MBU",2.385340046,-4.789594392,"jack pine",105.2755716,120.4865398,104.4369595,93.63186392,114.6782303,11.46782303,114.6782303,155.9883118,27.06665421,92.96913647,95.354476516,155.9883117676,15.59883117676,82.16404089,77.374446498
"189","E26-01","MBU",10.67816907,0.776382652,"trembling aspen",667.1438523,712.0656971,687.8763716,650.8961871,111.6528168,11.16528168,111.6528168,154.6927795,26.63455963,676.71108992,687.38925899,154.692779541,15.4692779541,639.73090542,640.507288072
"190","E27-01","MBU",18.20377909,8.420353035,"trembling aspen",208.8560689,254.2140998,230.0247743,192.6084038,126.4810181,12.64810181,126.4810181,77.44361877,20.39246368,217.37667249,235.58045158,77.4436187744,7.74436187744,179.96030199,188.380655025
"191","E27-02","MBU",17.42074926,7.670966229,"trembling aspen",165.2720066,210.6142174,186.424892,149.0243415,145.360321,14.5360321,145.360321,86.29077148,23.16510925,171.8888599,189.30960916,86.2907714844,8.62907714844,134.4883094,142.159275629
"192","E27-03","MBU",15.45560488,5.396290381,"trembling aspen",60.25384001,68.19550034,44.00617489,44.00617489,205.6328888,20.56328888,205.6328888,107.9983902,31.3631279,23.44288601,38.89849089,107.9983901978,10.79983901978,23.44288601,28.839176391
"193","E29-01","MBU",12.76975059,3.206671318,"trembling aspen",2648.108913,2692.88502,2668.695694,2631.861247,113.56884,11.356884,113.56884,130.0631256,24.36319656,2657.33881,2670.10856059,130.0631256104,13.00631256104,2620.504363,2623.711034318
"194","E29-02","MBU",13.68913564,3.496166503,"trembling aspen",101.3182784,147.6438126,123.4544871,85.07061332,130.5690002,13.05690002,130.5690002,127.401825,25.79708252,110.39758708,124.08672272,127.4018249512,12.74018249512,72.0137133,75.509879803
"195","E30-01","MBU",9.227588733,-0.88578592,"trembling aspen",106.8555269,152.8136022,128.6242768,90.49427565,130.1636353,13.01636353,130.1636353,170.049057,30.02126923,115.60791327,124.835502003,170.0490570068,17.00490570068,77.47791212,76.5921262
"196","E30-02","MBU",7.829600257,-2.1375858,"trembling aspen",232.3881525,277.3791397,253.1898142,215.8336881,150.5500641,15.05500641,150.5500641,182.9299316,33.34799957,238.13480779,245.964408047,182.9299316406,18.29299316406,200.77868169,198.64109589
