var_name,bands,bands2
DOC and L. Diefenbaker outflow,19,NA
DOC and L. Diefenbaker outflow,120,NA
Sulphate and L. Diefenbaker outflow,2,NA
Sulphate and L. Diefenbaker outflow,5,NA
Sulphate and L. Diefenbaker outflow,NA,19
Sulphate and L. Diefenbaker outflow,NA,120
TP and L. Diefenbaker outflow,27,NA
TP and L. Diefenbaker outflow,50,NA
SRP and L. Diefenbaker outflow,2,NA
SRP and L. Diefenbaker outflow,40,NA
Organic N and L. Diefenbaker outflow,19,NA
Organic N and L. Diefenbaker outflow,45,NA
Organic N and L. Diefenbaker outflow,NA,90
Organic N and L. Diefenbaker outflow,NA,120
Ammonia and L. Diefenbaker outflow,10,NA
Ammonia and L. Diefenbaker outflow,18,NA
Nitrate and L. Diefenbaker outflow,3,NA
Nitrate and L. Diefenbaker outflow,4,NA
Nitrate and L. Diefenbaker outflow,NA,15
Nitrate and L. Diefenbaker outflow,NA,19
DOC and Ridge + Iskwao Creek flows,NA,NA
DOC and Ridge + Iskwao Creek flows,NA,NA
Sulphate and Ridge + Iskwao Creek flows,2,NA
Sulphate and Ridge + Iskwao Creek flows,9,NA
Sulphate and Ridge + Iskwao Creek flows,NA,19
Sulphate and Ridge + Iskwao Creek flows,NA,45
TP and Ridge + Iskwao Creek flows,20,NA
TP and Ridge + Iskwao Creek flows,41,NA
SRP and Ridge + Iskwao Creek flows,NA,NA
SRP and Ridge + Iskwao Creek flows,NA,NA
Organic N and Ridge + Iskwao Creek flows,18,NA
Organic N and Ridge + Iskwao Creek flows,20,NA
Ammonia and Ridge + Iskwao Creek flows,2,NA
Ammonia and Ridge + Iskwao Creek flows,3,NA
Nitrate and Ridge + Iskwao Creek flows,2.5,NA
Nitrate and Ridge + Iskwao Creek flows,3,NA
DOC and Buffalo Pound inflow,9,NA
DOC and Buffalo Pound inflow,11,NA
DOC and Buffalo Pound inflow,NA,30
DOC and Buffalo Pound inflow,NA,55
Sulphate and Buffalo Pound inflow,2,NA
Sulphate and Buffalo Pound inflow,4,NA
Sulphate and Buffalo Pound inflow,NA,10
Sulphate and Buffalo Pound inflow,NA,120
TP and Buffalo Pound inflow,NA,NA
TP and Buffalo Pound inflow,NA,NA
SRP and Buffalo Pound inflow,24,NA
SRP and Buffalo Pound inflow,30,NA
Organic N and Buffalo Pound inflow,20,NA
Organic N and Buffalo Pound inflow,35,NA
Ammonia and Buffalo Pound inflow,12,NA
Ammonia and Buffalo Pound inflow,18,NA
Nitrate and Buffalo Pound inflow,9,NA
Nitrate and Buffalo Pound inflow,18,NA